Query_number,Document_number
1,384275
1,148786
1,350302
1,30569
1,351464
1,288613
1,96687
1,283800
1,76057
1,334084
2,249151
2,258517
2,380674
2,282384
2,119672
2,359846
2,375676
2,234881
2,458130
2,327065
3,109735
3,95119
3,118565
3,131827
3,9472
3,470982
3,321883
3,44899
3,182864
3,462276
4,423780
4,106605
4,188067
4,134143
4,45984
4,284004
4,326774
4,237767
4,407272
4,488249
5,492811
5,16154
5,333496
5,364562
5,490182
5,50184
5,174870
5,159010
5,369031
5,242148
6,374974
6,186579
6,290712
6,234409
6,5710
6,242612
6,181333
6,372881
6,482109
6,93743
7,473023
7,154713
7,56415
7,342031
7,295420
7,66951
7,30063
7,25395
7,26807
7,478310
8,29809
8,424046
8,493955
8,442103
8,208609
8,366444
8,384118
8,492219
8,423780
8,315673
9,19022
9,78528
9,30739
9,209033
9,191438
9,380199
9,309857
9,125841
9,406155
9,24352
10,413363
10,14900
10,274575
10,212175
10,139700
10,460317
10,365264
10,335485
10,350253
10,288183
11,492562
11,145513
11,399990
11,400423
11,289468
11,276071
11,246609
11,454843
11,326581
11,139164
12,43673
12,166826
12,126711
12,199336
12,402524
12,82382
12,194795
12,438016
12,182014
12,391560
13,433490
13,297014
13,335171
13,136861
13,45984
13,295900
13,356655
13,38751
13,52848
13,375285
14,249340
14,459254
14,120540
14,72645
14,175130
14,51581
14,40420
14,342250
14,64859
14,136861
15,357471
15,205443
16,363989
16,245715
16,370961
16,144055
16,1075
16,488194
16,166950
16,76748
16,372116
16,70491
17,39682
17,436122
17,407689
17,197
17,418129
17,127474
17,2168
17,475049
17,86789
17,218468
18,409017
18,268226
18,344040
19,128956
19,399199
19,128749
19,264405
19,477676
19,224231
19,200801
19,378016
19,485484
19,219357
20,390223
20,20632
20,208661
20,389796
20,57526
20,253201
20,44124
20,161769
20,64340
20,178769
21,33909
21,1813
21,61948
21,446000
21,85145
21,25851
21,462146
21,151750
21,423780
22,10673
22,379547
22,472662
22,138220
22,486713
22,284390
22,129446
22,382935
22,101173
22,331925
23,92263
23,136861
23,183566
23,217198
23,163611
23,46283
23,4301
23,86443
23,49230
23,96687
24,382049
24,212454
24,66252
24,120331
24,129516
24,335771
24,262874
24,349991
24,246322
24,457882
25,57632
25,100691
25,265748
25,458130
25,81659
25,441116
25,310135
25,478658
25,414079
25,66365
26,145125
26,9472
26,13728
26,260766
26,367416
26,483129
26,227423
26,295296
26,63436
26,404278
27,437129
27,219169
27,421881
27,494444
27,231976
27,417488
27,41468
27,206833
27,92494
27,313093
28,189580
28,457684
28,162495
28,34796
28,407272
28,234803
28,253201
28,199806
28,34269
28,469005
29,124152
29,420018
29,304085
29,58428
29,217584
29,57034
29,391896
29,330099
29,312315
29,22378
30,60876
30,47825
30,279074
30,286749
30,411931
30,59972
30,350888
30,132966
30,345609
30,421199
31,161077
31,236217
31,283800
31,233310
31,56442
31,488300
31,53039
31,237269
31,384275
31,340302
32,280783
32,177094
32,138220
32,62063
32,311822
32,414671
32,375748
32,419530
32,194777
32,278846
33,316963
33,82257
33,425869
33,266562
